iter	Passed	Remaining
0	64	7721
1	82	4875
2	93	3664
3	105	3053
4	116	2671
5	126	2409
6	137	2227
7	146	2057
8	156	1928
9	165	1824
10	174	1733
11	184	1657
12	193	1593
13	203	1541
14	213	1491
15	222	1443
16	231	1402
17	240	1363
18	249	1328
19	259	1298
20	269	1270
21	279	1245
22	288	1217
23	298	1193
24	309	1176
25	319	1154
26	328	1131
27	337	1110
28	348	1092
29	358	1074
30	367	1054
31	376	1035
32	386	1019
33	396	1003
34	405	985
35	414	968
36	424	952
37	434	937
38	444	922
39	453	907
40	462	891
41	471	876
42	480	860
43	490	846
44	500	833
45	509	819
46	518	806
47	528	793
48	537	778
49	546	765
50	555	751
51	565	739
52	577	730
53	587	718
54	597	705
55	606	693
56	616	681
57	625	669
58	636	657
59	645	645
60	654	633
61	664	621
62	672	608
63	682	596
64	691	584
65	700	572
66	711	562
67	720	551
68	731	540
69	742	530
70	753	520
71	764	509
72	775	499
73	786	488
74	796	477
75	806	466
76	815	455
77	824	444
78	833	432
79	843	421
80	852	410
81	861	399
82	870	387
83	878	376
84	887	365
85	897	354
86	906	343
87	915	332
88	926	322
89	935	311
90	945	301
91	954	290
92	963	279
93	972	268
94	981	258
95	990	247
96	1000	237
97	1010	226
98	1018	216
99	1028	205
100	1037	195
101	1045	184
102	1059	174
103	1071	164
104	1081	154
105	1091	144
106	1102	133
107	1112	123
108	1123	113
109	1136	103
110	1148	93
111	1160	82
112	1172	72
113	1183	62
114	1194	51
115	1205	41
116	1215	31
117	1225	20
118	1234	10
119	1244	0
